	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	EQU24_RS00055||DUF3240	DUF3240 family protein	306	20	1.87296E-66	86.57						IPR021634 (PFAM); IPR015867 (G3DSA:3.30.70.GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00060||bifunctional	bifunctional diguanylate cyclase/phosphodiesterase	2571	20	0.0	79.67	3	F:GO:0005515; C:GO:0016021; F:GO:0016740	F:protein binding; C:integral component of membrane; F:transferase activity			IPR001633 (SMART); IPR000160 (SMART); IPR001610 (SMART); IPR000014 (SMART); IPR000014 (PFAM); G3DSA:3.30.450.20 (GENE3D); IPR035919 (G3DSA:3.20.20.GENE3D); G3DSA:3.30.450.20 (GENE3D); IPR013655 (PFAM); IPR000014 (TIGRFAM); IPR001633 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000160 (PFAM); IPR000160 (TIGRFAM); PTHR46663 (PANTHER); PTHR46663:SF1 (PANTHER); IPR000700 (PROSITE_PROFILES); IPR001633 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR001633 (CDD); IPR000160 (CDD); IPR000014 (CDD); IPR000014 (CDD); IPR029787 (SUPERFAMILY); IPR035919 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00065||DUF839	PhoX family phosphatase	1611	20	0.0	86.74	1	C:GO:0016021	C:integral component of membrane			IPR008557 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR35399 (PANTHER); PTHR35399 (PANTHER); PTHR35399:SF2 (PANTHER); PTHR35399:SF2 (PANTHER); SSF63829 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00070|tatA|twin-arginine	twin-arginine translocase TatA/TatE family subunit	216	20	3.88821E-32	88.59	4	C:GO:0005887; F:GO:0008320; C:GO:0033281; P:GO:0043953	C:integral component of plasma membrane; F:protein transmembrane transporter activity; C:TAT protein transport complex; P:protein transport by the Tat complex			IPR003369 (PFAM); IPR006312 (TIGRFAM); mobidb-lite (MOBIDB_LITE); PTHR42982 (PANTHER); IPR006312 (HAMAP)	P:GO:0015031; C:GO:0016021; P:GO:0043953	P:protein transport; C:integral component of membrane; P:protein transport by the Tat complex
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00075|tatB|twin-arginine	twin-arginine translocase subunit TatB	312	20	1.22593E-66	79.58	4	C:GO:0005887; F:GO:0008320; C:GO:0033281; P:GO:0043953	C:integral component of plasma membrane; F:protein transmembrane transporter activity; C:TAT protein transport complex; P:protein transport by the Tat complex			PR01506 (PRINTS); IPR003369 (PFAM); IPR018448 (TIGRFAM); PTHR33162:SF1 (PANTHER); PTHR33162 (PANTHER); IPR018448 (HAMAP)	P:GO:0015031; C:GO:0016020; P:GO:0043953	P:protein transport; C:membrane; P:protein transport by the Tat complex
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00080||hypothetical	2OG-Fe(II) oxygenase	999	20	0.0	71.13	4	F:GO:0005506; F:GO:0016705; F:GO:0031418; P:GO:0055114	F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; P:oxidation-reduction process			IPR006620 (SMART); IPR005123 (PFAM); G3DSA:2.60.120.620 (GENE3D); PTHR10869 (PANTHER); PTHR10869:SF86 (PANTHER); IPR005123 (PROSITE_PROFILES); IPR036249 (SUPERFAMILY)	F:GO:0005506; F:GO:0016491; F:GO:0016705; F:GO:0031418; P:GO:0055114	F:iron ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; P:oxidation-reduction process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00085||prolipoprotein	prolipoprotein diacylglyceryl transferase	783	20	0.0	94.1	3	C:GO:0005887; F:GO:0008961; P:GO:0042158	C:integral component of plasma membrane; F:phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity; P:lipoprotein biosynthetic process			IPR001640 (PFAM); IPR001640 (TIGRFAM); IPR001640 (PANTHER); IPR001640 (HAMAP)	C:GO:0005887; F:GO:0008961; P:GO:0042158	C:integral component of plasma membrane; F:phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity; P:lipoprotein biosynthetic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00090|thyA|thymidylate	thymidylate synthase	834	20	0.0	92.0	5	F:GO:0004799; C:GO:0005737; P:GO:0006231; P:GO:0006235; P:GO:0032259	F:thymidylate synthase activity; C:cytoplasm; P:dTMP biosynthetic process; P:dTTP biosynthetic process; P:methylation	EC:2.1.1.45	Thymidylate synthase	IPR000398 (PRINTS); IPR023451 (PFAM); IPR036926 (G3DSA:3.30.572.GENE3D); IPR000398 (TIGRFAM); PTHR11548 (PANTHER); PTHR11548:SF9 (PANTHER); IPR000398 (HAMAP); IPR023451 (CDD); IPR036926 (SUPERFAMILY)	F:GO:0004799; P:GO:0006231	F:thymidylate synthase activity; P:dTMP biosynthetic process
true	[INTERPRO, BLASTED, MAPPED]	EQU24_RS00095||hypothetical	nucleoside triphosphate pyrophosphohydrolase family protein	531	20	4.76347E-127	78.38	1	F:GO:0016787	F:hydrolase activity			IPR033653 (CDD)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00100||zinc	YchJ family protein	480	20	9.95888E-116	81.0						IPR004027 (PFAM); PF17775 (PFAM); G3DSA:3.10.450.50 (GENE3D); PTHR33747 (PANTHER); SSF103642 (SUPERFAMILY); IPR032710 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00105|crp|cAMP-activated	cAMP-activated global transcriptional regulator CRP	654	20	4.69646E-156	88.92	3	F:GO:0003677; F:GO:0003700; P:GO:0006355	F:DNA binding; F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated			IPR012318 (PRINTS); IPR012318 (SMART); IPR000595 (SMART); IPR012318 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR000595 (PFAM); IPR014710 (G3DSA:2.60.120.GENE3D); PTHR24567 (PANTHER); PTHR24567:SF68 (PANTHER); IPR000595 (PROSITE_PROFILES); IPR012318 (PROSITE_PROFILES); cd00092 (CDD); IPR000595 (CDD); IPR036390 (SUPERFAMILY); IPR018490 (SUPERFAMILY)	F:GO:0003677; P:GO:0006355	F:DNA binding; P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED]	EQU24_RS00110||OsmC	OsmC family protein	417	20	1.79686E-95	93.14						G3DSA:2.20.25.10 (GENE3D); IPR003718 (PFAM); IPR015946 (G3DSA:3.30.300.GENE3D); PTHR34352 (PANTHER); IPR036102 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00115|speD|adenosylmethionine	adenosylmethionine decarboxylase	789	20	0.0	93.27	3	F:GO:0004014; P:GO:0006557; P:GO:0008295	F:adenosylmethionine decarboxylase activity; P:S-adenosylmethioninamine biosynthetic process; P:spermidine biosynthetic process	EC:4.1.1.50	Adenosylmethionine decarboxylase	G3DSA:3.60.90.10 (GENE3D); IPR009165 (TIGRFAM); IPR003826 (PFAM); IPR009165 (PIRSF); G3DSA:3.30.360.110 (GENE3D); IPR003826 (PANTHER); PTHR33866:SF1 (PANTHER); IPR009165 (HAMAP); IPR016067 (SUPERFAMILY)	F:GO:0004014; P:GO:0008295	F:adenosylmethionine decarboxylase activity; P:spermidine biosynthetic process
true	[INTERPRO, BLASTED, ANNOTATED]	EQU24_RS00120||sel1	peptidase C14 caspase catalytic subunit p20	414	20	1.97422E-92	89.29	1	F:GO:0005515	F:protein binding			IPR006597 (SMART); IPR006597 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR43628 (PANTHER); PTHR43628:SF1 (PANTHER); SSF81901 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00125||autotransporter	autotransporter outer membrane beta-barrel domain-containing protein	1323	20	0.0	66.83	1	C:GO:0019867	C:outer membrane			IPR005546 (SMART); IPR005546 (PFAM); IPR036709 (G3DSA:2.40.128.GENE3D); IPR006315 (TIGRFAM); IPR005546 (PROSITE_PROFILES); IPR036709 (SUPERFAMILY)	C:GO:0019867	C:outer membrane
true	[INTERPRO, BLASTED]	EQU24_RS00130||hypothetical	MULTISPECIES: hypothetical protein	369	4	3.48995E-84	86.94						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00135||DUF2807	DUF2807 domain-containing protein	774	20	1.50373E-167	66.06	1	C:GO:0016021	C:integral component of membrane			IPR021255 (PFAM); G3DSA:2.160.20.120 (GENE3D); G3DSA:2.160.20.120 (GENE3D); PTHR39200 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00140||OmpA	OmpA family protein	591	20	6.96866E-143	68.18	2	C:GO:0009279; C:GO:0016021	C:cell outer membrane; C:integral component of membrane			IPR006664 (PRINTS); IPR006665 (PFAM); IPR036737 (G3DSA:3.30.1330.GENE3D); PTHR30128 (PANTHER); PTHR30128:SF31 (PANTHER); IPR006665 (PROSITE_PROFILES); IPR006665 (CDD); IPR036737 (SUPERFAMILY)	C:GO:0009279; C:GO:0016021	C:cell outer membrane; C:integral component of membrane
true	[INTERPRO, BLASTED]	EQU24_RS00145||hypothetical	hypothetical protein CVV06_10590	303	15	6.51128E-58	72.51						PS51257 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00150||DUF4384	DUF4384 domain-containing protein	1542	20	0.0	73.1						IPR025493 (PFAM); PTHR36194 (PANTHER); PS51257 (PROSITE_PROFILES); IPR036365 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00155||hypothetical	hypothetical protein	312	5	7.72876E-40	93.48						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00160||hypothetical	protein of unknown function	297	20	4.59015E-42	95.27	1	C:GO:0016020	C:membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	EQU24_RS00165||hypothetical	hypothetical protein	297	20	6.33658E-42	95.8						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00170||caspase	caspase family protein	1302	20	0.0	77.07	2	F:GO:0004197; P:GO:0006508	F:cysteine-type endopeptidase activity; P:proteolysis	EC:3.4.22	Acting on peptide bonds (peptidases)	PF00656 (PFAM); G3DSA:2.60.120.430 (GENE3D); G3DSA:3.40.50.1460 (GENE3D); PTHR22576:SF37 (PANTHER); PTHR22576 (PANTHER); IPR001309 (PROSITE_PROFILES); PS51257 (PROSITE_PROFILES); IPR029030 (SUPERFAMILY)	F:GO:0004197; P:GO:0006508	F:cysteine-type endopeptidase activity; P:proteolysis
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00175||hypothetical	ISNCY family transposase	279	20	1.22065E-60	74.16	4	F:GO:0003677; F:GO:0004803; P:GO:0006313; C:GO:0016020	F:DNA binding; F:transposase activity; P:transposition, DNA-mediated; C:membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED]	EQU24_RS00180||ISAzo13	ISAzo13 family transposase	1179	20	0.0	85.31	1	F:GO:0003677	F:DNA binding			IPR011518 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00185||hypothetical	ISAs1 family transposase	333	20	2.47289E-77	85.68	3	F:GO:0003677; F:GO:0004803; P:GO:0006313	F:DNA binding; F:transposase activity; P:transposition, DNA-mediated			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00190||hypothetical	ISAs1 family transposase	228	20	5.94118E-47	83.19	3	F:GO:0003677; F:GO:0004803; P:GO:0006313	F:DNA binding; F:transposase activity; P:transposition, DNA-mediated			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	EQU24_RS00195||DUF4338	DUF4338 domain-containing protein	1002	20	0.0	84.97						IPR032806 (PFAM); IPR025639 (PFAM); PTHR30298 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	EQU24_RS00200||hypothetical	HNH endonuclease	228	20	2.34239E-49	70.56	2	F:GO:0004519; P:GO:0090305	F:endonuclease activity; P:nucleic acid phosphodiester bond hydrolysis			IPR003615 (PFAM); G3DSA:3.30.40.60 (GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00205||IS66	IS66 family transposase	1551	20	0.0	93.26						IPR004291 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR33678 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00210||DUF3800	DUF3800 domain-containing protein	1002	20	0.0	66.38						IPR024524 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00215||type	type II toxin-antitoxin system HicB family antitoxin	210	20	5.74407E-43	96.01						G3DSA:3.30.160.250 (GENE3D); PTHR34504 (PANTHER); IPR035069 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00220||type	type II toxin-antitoxin system HicA family toxin	228	20	7.64866E-47	93.58	1	F:GO:0003729	F:mRNA binding			IPR012933 (PFAM); IPR038570 (G3DSA:3.30.920.GENE3D); PTHR34873 (PANTHER); SSF54786 (SUPERFAMILY)	F:GO:0003729	F:mRNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00225||HAD	TIGR01458 family HAD-type hydrolase	309	20	4.87531E-56	80.93	2	P:GO:0016311; F:GO:0016791	P:dephosphorylation; F:phosphatase activity			IPR023214 (G3DSA:3.40.50.GENE3D); PF13242 (PFAM); PTHR19288:SF43 (PANTHER); PTHR19288 (PANTHER); IPR036412 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00230||hypothetical	MULTISPECIES: hypothetical protein	222	20	1.79269E-42	79.74						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	EQU24_RS00235||type	type II toxin-antitoxin system RelE/ParE family toxin	300	20	2.18838E-52	73.52						IPR007712 (PFAM); IPR035093 (G3DSA:3.30.2310.GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS00240||hypothetical	TFIIB-type zinc ribbon-containing protein	222	20	1.57345E-47	85.13						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00245||cation	cation transporter	942	20	0.0	91.06	3	F:GO:0008324; C:GO:0016021; P:GO:0098655	F:cation transmembrane transporter activity; C:integral component of membrane; P:cation transmembrane transport			IPR036837 (G3DSA:3.30.70.GENE3D); IPR002524 (PFAM); IPR002524 (TIGRFAM); IPR027469 (G3DSA:1.20.1510.GENE3D); IPR027470 (PFAM); PTHR43840 (PANTHER); PTHR43840:SF15 (PANTHER); IPR036837 (SUPERFAMILY); IPR027469 (SUPERFAMILY)	P:GO:0006812; F:GO:0008324; C:GO:0016021; P:GO:0055085	P:cation transport; F:cation transmembrane transporter activity; C:integral component of membrane; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00250||hypothetical	MULTISPECIES: hypothetical protein	291	20	2.66314E-58	95.84	1	C:GO:0016021	C:integral component of membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	EQU24_RS00255||hypothetical	---NA---	291									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00260||hypothetical	hypothetical protein	291	20	1.10508E-50	95.69	1	C:GO:0016021	C:integral component of membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00265||glucosidase	glucosidase	2676	20	0.0	81.9	2	F:GO:0004573; P:GO:0009311	F:mannosyl-oligosaccharide glucosidase activity; P:oligosaccharide metabolic process	EC:3.2.1.106	Mannosyl-oligosaccharide glucosidase	PTHR10412:SF10 (PANTHER); IPR004888 (PANTHER); IPR008928 (SUPERFAMILY)	F:GO:0003824; F:GO:0004573; P:GO:0009311	F:catalytic activity; F:mannosyl-oligosaccharide glucosidase activity; P:oligosaccharide metabolic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00270||Crp/Fnr	Crp/Fnr family transcriptional regulator	666	20	1.12338E-159	75.91	4	F:GO:0003677; P:GO:0006355; F:GO:0016301; P:GO:0016310	F:DNA binding; P:regulation of transcription, DNA-templated; F:kinase activity; P:phosphorylation			IPR012318 (PRINTS); IPR012318 (SMART); IPR000595 (SMART); IPR000595 (PFAM); IPR014710 (G3DSA:2.60.120.GENE3D); IPR012318 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); PTHR24567 (PANTHER); PTHR24567:SF68 (PANTHER); IPR012318 (PROSITE_PROFILES); IPR000595 (PROSITE_PROFILES); cd00092 (CDD); IPR000595 (CDD); IPR018490 (SUPERFAMILY); IPR036390 (SUPERFAMILY)	F:GO:0003677; P:GO:0006355	F:DNA binding; P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED]	EQU24_RS00275||hypothetical	hypothetical protein	729	16	0.0	61.71						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00280||adenylate/guanylate	adenylate/guanylate cyclase domain-containing protein	2139	20	0.0	72.37	4	F:GO:0004016; P:GO:0009190; C:GO:0016021; P:GO:0035556	F:adenylate cyclase activity; P:cyclic nucleotide biosynthetic process; C:integral component of membrane; P:intracellular signal transduction	EC:4.6.1.1	Adenylate cyclase	IPR001054 (PFAM); IPR029787 (G3DSA:3.30.70.GENE3D); PTHR43081 (PANTHER); PTHR43081:SF14 (PANTHER); IPR001054 (PROSITE_PROFILES); cd07302 (CDD); IPR029787 (SUPERFAMILY)	P:GO:0009190; P:GO:0035556	P:cyclic nucleotide biosynthetic process; P:intracellular signal transduction
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS00285||protein	protein kinase	1635	20	0.0	71.16	4	P:GO:0000187; F:GO:0004672; F:GO:0005524; C:GO:0016021	P:activation of MAPK activity; F:protein kinase activity; F:ATP binding; C:integral component of membrane			G3DSA:1.10.510.10 (GENE3D); IPR025493 (PFAM); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR43289 (PANTHER); PTHR43289:SF11 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14014 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0004672; F:GO:0005524; P:GO:0006468	F:protein kinase activity; F:ATP binding; P:protein phosphorylation
